MAIN_ID,RA,DEC,SP_TYPE,U,A_U,B,A_B,V,A_V,R,A_R,I,A_I,J,A_J,H,A_H,K,2MASS_FLAG,A_K,W1,A_W1,W2,A_W2,F9,F9_FLAG,W3,A_W3,F18,F18_FLAG,W4,WISE_FLAG,A_W4,25,60,100,450,850,890,1300,2600,2700,7000,13000,36000
 mwc 297,18 27 39,-03 49 52,B3,15.57,10.72041127,14.34,9.111380282,12.31,6.882,11.34,5.156653521,,3.295605634,6.127,1.938591549,4.387,1.209681127,3.041,0d0 ,0.740541972,-1.163,0.363162817,-1.865,0.224433167, ,0,-2.022,0.187597504,218.300003,3,-4.721,HHHH ,0.122426709,224,914,2200,1.45,0.57,,0.11,,,,,
 mwc 342,20 23 03,+39 29 50,B[e],11.62,5.022172806,11.5,4.268392801,10.6,3.223998817,,2.415728691,,1.543886758,6.979,0.908168681,5.8,0.566697257,4.679,000,0.346920436,2.1,0.170130266,0.246,0.105139823,46.57,3,-0.241,0.087883483,44.919998,3,-1.817,HHHH ,0.057353032,,,,,,,,,,,,
 mwc 930,18 26 25,-07 13 17,B5/9e,,9.030256338,14.56,7.674901408,12.83,5.797,10.69,4.343667606,,2.776028169,6.652,1.632957746,5.81,1.018965634,5.262,000,0.623789859,3.908,0.305907418,3.267,0.18904956,3.251,3,3.014,0.158021321, ,0,2.012,0000,0.103125201,,,,,,,,,,,,
 mwc 1080,23 17 25,+60 50 43,B0eq,13.02,8.01616338,12.88,6.813014085,11.52,5.146,9.98,3.855876056,8.73,2.46428169,7.461,1.449577465,5.98,0.904536338,4.826,000,0.553738592,2.21,0.271554178,0.795,0.167819395,21.6,3,0.344,0.140275611,17.24,3,-0.984,0hoo ,0.091544296,28.4,150,246.2,3.79,0.275,,0.54E,,0.011,,,
 mx ori,05 35 21,-05 09 16,F8Ve,,0.738839155,10.927,0.627946479,10.254,0.4743,,0.355390986,,0.227129577,8.315,0.133605634,7.684,0.083369915,7.101,000,0.051037352,6.304,0.025028789,5.862,0.015467691,0.7269,3,5.22,0.012929017, ,0,4.012,hdOO ,0.008437516,,,,,,,,,,,,
 nv ori,05 35 31,-05 33 08,F0,,5.427811831,11.623,4.613149296,10.189,3.4844,,2.610846197,,1.668585915,8.799,0.981521127,8.257,0.612469183,7.642,000,0.37494107,6.989,0.183871624,6.375,0.113631928,1.247,3,3.431,0.094981799, ,0,1.589,hhhD ,0.061985415,,,,,,,,,,,,
 r mon,06 39 09,+08 44 09,B8IIIe,12.45,3.621760563,12.81,3.078169014,12.15,2.325,11.19,1.742112676,10.98,1.113380282,9.686,0.654929577,8.028,0.408676056,6.384,000,0.250183099,3.018,0.122690141,-0.035,0.075822016,34.07,3,-0.202,0.063377535,79.239998,3,-2.717,0h00 ,0.041360375,139,132,163,,,,0.1,,,,,
 r cra,19 01 53,-36 57 07,B5IIIpe,12.781,4.220559305,12.651,3.587093803,11.917,2.709400639,11.242,2.03014245,10.412,1.297459461,6.935,0.763211447,4.951,0.476243943,2.858,000,0.291546773,-0.276,0.142974944,-1.26,0.088357943,88.349998,3,-1.239,0.073855972, ,0,-4.016,HHHH ,0.048198635,263,612,1210,,,,,,,,,
 rr tau,05 39 30,+26 22 26,A0:IVe,13.08,3.042278873,12.71,2.585661972,12.08,1.953,11.37,1.463374648,10.78,0.935239437,9.685,0.550140845,8.416,0.343287887,7.389,000,0.210153803,6.014,0.103059718,5.285,0.063690493,1.365,3,3.571,0.05323713,1.367,3,1.723,HHHH ,0.034742715,2.5,5.1,40.3,,,,0.02,,,,,
 sv cep,22 21 33,+73 40 27,A0,11.63,1.883315493,11.37,1.600647887,10.98,1.209,10.58,0.905898592,10.04,0.578957746,9.35,0.34056338,8.56,0.212511549,7.744,000,0.130095211,6.726,0.063798873,5.935,0.039427448,2.527,3,2.55,0.032956318,3.459,3,0.742,0000,0.021507395,,,,,,,,,,,,
 t cra,19 01 58,-36 57 49,F0,,4.201242254,14.02,3.570676056,12.84,2.697,11.84,2.020850704,,1.291521127,8.928,0.75971831,7.703,0.474064225,6.598,000,0.290212394,6.92,0.142320563,5.587,0.087953538,4.674,3,2.301,0.073517941, ,0,-1.11,HHHH ,0.047978035,,,,,,,,,,,,
 t ori,05 35 50,-05 28 34,A3IVeb,11.64,2.124766197,11.16,1.805859155,10.63,1.364,10.02,1.022039437,9.67,0.653183099,8.271,0.384225352,7.236,0.23975662,6.216,000,0.146774085,5.012,0.071978216,4.586,0.044482249,      null|, null,2.73,0.037181487,      null|,null,0.64,HHHH ,0.024264753,,,,,,,,,0.13,,,
 t cha,11 57 13,-79 21 31,F5,13.01,4.056371831,12.23,3.447549296,10.97,2.604,,1.951166197,,1.246985915,8.955,0.733521127,7.86,0.457717183,6.954,000,0.28020507,5.857,0.137412958,5.043,0.084920658,0.5992,3,4.663,0.070982839,0.8096,3,2.567,0000,0.04632362,,,,,,,,,,,,
 ty cra,19 01 40,-36 52 33,B9e,,2.414507042,9.962,2.052112676,9.522,1.55,9.23,1.161408451,,0.742253521,7.486,0.436619718,6.97,0.272450704,6.673,000,0.166788732,5.662,0.081793427,4.547,0.050548011, ,0,-1.732,0.04225169,54.09,3,-2.253,HHHH ,0.027573583,57,497,720,,,,,,0.13,,,
 ux ori,05 04 29,-03 47 14,A3,11.01,1.303833803,10.76,1.108140845,10.4,0.837,10.17,0.627160563,9.9,0.400816901,9.06,0.235774648,8.044,0.14712338,7.214,000,0.090065915,6.25,0.044168451,5.513,0.027295926, ,0,2.921,0.022815913,3.112,3,0.92,0000,0.014889735,3.7,2.8,3.8,,,,,,,,,
 hd 38238,05 44 18,+00 08 40,A7IIIe,9.4399996,0.772644096,9.2200003,0.656677622,8.8699999,0.496001183,,0.37165159,,0.237521693,7.95,0.139718643,7.504,0.087184433,6.846,000,0.053372522,5.811,0.026173959,5.069,0.016175402,1.221,3,3.9,0.013520573,1.69,3,1.071,0000,0.008823568,,,,,,,,,,,,
 v376 cas,00 11 26,+58 50 03,A3/F2e,17.19,4.635853521,16.6,3.940056338,15.55,2.976,14.28,2.229904225,,1.425126761,10.994,0.838309859,8.37,0.523105352,6.305,000,0.320234366,8.518,0.15704338,6.355,0.09705218,17.889999,3,3.078,0.081123245,33.799999,3,-0.327,dddd ,0.05294128,92,138,198,,0.14,,0.23E,,0.0023,,,
 v380 ori,05 36 25,-06 42 57,B9,10.85,2.993988732,11.05,2.544619718,10.49,1.922,9.66,1.440146479,9.13,0.920394366,8.107,0.541408451,6.964,0.337838873,5.947,000,0.206818028,4.792,0.10142385,3.723,0.062679533,7.375,3,1.492,0.052392096,7.237,3,0.149,HHHH ,0.034191243,8.8,,,,,,,,0.02,,,
 v451 ori,05 31 26,+11 01 22,B9e,,1.014095721,9.6300001,0.861889672,9.4799995,0.651001774,,0.487792878,,0.311747328,9.181,0.183380781,9.162,0.114429608,9.111,000,0.070051458,9.051,0.034353333,9.013,0.021230222,      null|, null,8.567,0.017745758,      null|,null,7.329,0000,0.011580936,,,,,,,,,,,,
 v517 cyg,20 47 23,+43 44 39,A0/5,,4.283335493,13.786,3.640447887,12.899,2.7497,,2.060338592,,1.316757746,10.775,0.77456338,10.18,0.483327549,9.396,000,0.295883211,7.928,0.14510154,7.209,0.089672171,0.5625,3,4.543,0.074954498,0.5804,3,2.958,000p ,0.048915536,,,,,,,,,,,,
 v590 mon,06 40 44,+09 48 02,B7,12.84,1.303833803,12.93,1.108140845,12.77,0.837,12.46,0.627160563,12.23,0.400816901,11.438,0.235774648,10.448,0.14712338,9.33,000,0.090065915,7.812,0.044168451,6.888,0.027295926,2.024,3,3.219,0.022815913,3.075,3,0.843,h00h ,0.014889735,9.3,,,,,,,,,,,
 v594 cas,00 43 18,+61 54 40,B8eq,10.87,3.090569014,11.13,2.626704225,10.58,1.984,9.82,1.486602817,9.2,0.950084507,8.137,0.558873239,6.917,0.348736901,5.896,000,0.213489577,4.757,0.104695587,3.865,0.064701454,5.028,3,1.777,0.054082163,5.984,3,0.133,hh00 ,0.035294186,10.2,5.3,,,,,,,0.06,,,
 v645 cyg,21 39 58,+50 14 20,A0,,5.311915493,14.57,4.514647887,13.47,3.41,,2.555098592,,1.632957746,10.942,0.96056338,9.209,0.599391549,6.848,000,0.366935211,1.59,0.17994554,-0.156,0.111205623,67.260002,3,-0.915,0.092953718,143,3,-3.203,HHHH ,0.060661883,,,,54.68,6.86,,,,0.0033,-0.00064,0.00091,0.00055
